# median_business_days_to_close | PW (SM)-Potholes | zcta 38104 | window from 2024-07-01 to 2025-06-30 | value 1.0 | CI 1.0 to 1.0 | n 21
sr_id,open_date_local,close_date_local,state_closed,business_days_to_close,age_business_days_at_through,reviewer_agrees,reviewer_notes
7178173,2024-10-30,2024-10-31,True,1,161,,
7180685,2024-11-07,2024-11-08,True,1,155,,
7180705,2024-11-07,2024-11-08,True,1,155,,
7189935,2024-12-09,2024-12-10,True,1,136,,
7196235,2024-12-28,2024-12-30,True,1,124,,
7196540,2024-12-30,2024-12-30,True,0,123,,
7202991,2025-01-16,2025-01-17,True,1,111,,
7205237,2025-01-24,2025-01-28,True,2,106,,
7211982,2025-02-11,2025-02-12,True,1,94,,
7214440,2025-02-22,2025-02-24,True,1,87,,
7216308,2025-02-27,2025-02-28,True,1,83,,
7223266,2025-03-17,2025-03-19,True,2,71,,
7228820,2025-03-29,2025-03-31,True,1,62,,
7229184,2025-03-31,2025-04-01,True,1,61,,
7238548,2025-04-21,2025-04-21,True,0,48,,
7240367,2025-04-23,2025-04-24,True,1,46,,
7241433,2025-04-25,2025-04-28,True,1,44,,
7254049,2025-05-22,2025-05-22,True,0,25,,
7259629,2025-06-02,2025-06-06,True,4,19,,
7266839,2025-06-16,2025-06-17,True,1,9,,
7287850,2025-06-30,2025-07-01,True,1,0,,
